 ,Keine Angaben,Andere
.,Keine Angaben,Andere
*,Keine Angaben,Andere
1. FC Union Berlin,1. FC Union Berlin,Kunde
1818 Auskunft AG,Grundbuchauskunft,Kunde
1to1 Media Hostettler,1to1 Media Hostettler,Agentur
20 Minuten,20 Minuten AG,Print
20 Minuten AG,20 Minuten AG,Print
3 Plus TV Network AG,3 Plus TV Network AG,Broadcaster
360 Media,360 Media Solutions,Agentur
Adello AG,Adello AG,Intelligence
Adwebster AG,Adwebster AG,Agentur
Aegis Media,Dentsu Aegis Network Switzerland AG,Agentur
Aegis Media Central Services AG,Dentsu Aegis Network Switzerland AG,Agentur
Agence Trio SA,Agence Trio SA,Agentur
ALDI SUISSE AG,ALDI SUISSE AG,Kunde
ALDI SUISSE AG Zentraleinkauf Werbung,ALDI SUISSE AG,Kunde
Alltron AG,Alltron AG,Infrastruktur
Alpamare,Alpamare AG,Kunde
Alpha 245,Alpha 245 AG,Agentur
AMAG  Automobil- und Motoren AG,AMAGAutomobil- und Motoren AG,Kunde
AMAG AG,AMAGAutomobil- und Motoren AG,Kunde
AMAG Automobil- und Motoren AG,AMAGAutomobil- und Motoren AG,Kunde
AMAG Automobil- und MotorenAG,AMAGAutomobil- und Motoren AG,Kunde
Amazee Labs,Amazee Labs AG,Agentur
Ammarkt AG,ammarkt ag,Agentur
AMS Media,AMS Media,Agentur
Andreas & Conrad AG,Andreas & Conrad AG,HR
Annex Werbe AG,Annex Werbe AG,Agentur
AP&CO,AP&CO,Andere
Art Directors Club Schweiz,Art Directors Club Schweiz,Verband
artcom media gmbh,Artcom Display AG,Infrastruktur
Atout France,Atout France,Agentur
Attilio Meyer AG,Attilio Meyer AG,Infrastruktur
AXA Winterthur,AXA Winterthur,Kunde
Axel Springer Schweiz AG,Axel Springer Schweiz AG,Kunde
AZ Medien,AZ Medien,Broadcaster
AZ Medien / Belcom AG,AZ Medien,Broadcaster
AZ Medien AG,AZ Medien,Broadcaster
AZ Regionalfernsehen AG,AZ Medien,Broadcaster
AZ Regionalfernsehen AG, Tele M1,AZ Medien,Broadcaster
AZ Regionalfernsehen TeleB_§rn,AZ Medien,Broadcaster
b&b endemol,B&B Endemol AG,Produktion
B&B Endemol AG,B&B Endemol AG,Produktion
Backstage,Backstage Studio Regine Ochsner,Andere
Bad Seedamm AG / Alpamare,Alpamare AG,Kunde
Bad Seedamm AG/Alpamare,Alpamare AG,Kunde
BANK-now (CS),Credit Suisse AG,Kunde
BANK-now AG,Credit Suisse AG,Kunde
Barilla,Barilla Switzerland AG,Kunde
Bayer (Schweiz) AG Health Care / Consumer Care,Bayer (Schweiz) AG,Kunde
BCD Travel Suisse AG,BCD Travel Suisse SA,Kunde
Bel Suisse SA,BEL SUISSE SA,Kunde
Belcom,Belcom AG,Broadcaster
Belcom AG,Belcom AG,Broadcaster
Berner Kantonalbank BEKB,Berner Kantonalbank,Kunde
Betonierwerk BW GmbH,Betonierwerk BW GmbH,Kunde
BFMTV,BFMTV,Broadcaster
BG Media a Division of ZenithOptimedia AG,Zenithoptimedia AG,Agentur
BGMedia,Zenithoptimedia AG,Agentur
BGMedia a division of ZenithOptimedia AG,Zenithoptimedia AG,Agentur
Bio Strath AG,Bio-Strath AG,Kunde
Bio-Strath AG,Bio-Strath AG,Kunde
Bitfrucht AG,Bitfrucht AG,Agentur
Blick,Blick ,Print
blick,Blick ,Print
BLOFELD Entertainment GmbH,Blofeld Entertainment GmbH,Produktion
BMW (Schweiz) AG,BMW (Schweiz) AG,Kunde
Bolton Swiss SA,Bolton Swiss SA,Kunde
Bongrain (Suisse) SA,Bongrain SA,Kunde
Brack Electronics AG,BRACK.CH AG,Kunde
Brandzeichen GmbH,Brandzeichen GmbH,Agentur
BRITA Wasser-Filter-Systeme AG,BRITA Wasser-Filter-Systeme AG,Kunde
Canal 9 ,Canal 9,Broadcaster
Carat Switzerland,Carat Switzerland AG,Agentur
Carat Switzerland AG,Carat Switzerland AG,Agentur
Carglass Suisse SA ,Carglass Suisse SA,Kunde
cashgate AG,cashgate AG,Kunde
CAVEGNWERBUNG,CAVEGNWERBUNG,Agentur
Change Communications,Change Communications,Agentur
ChaosCrew,ChaosCrew,Andere
Charles Vögele Mode AG,Charles Vögele AG,Kunde
Cinergy,Cinergy AG,Kino
CINERGY AG,Cinergy AG,Kino
clear channel schweiz ag,Clear Channel Schweiz AG,Agentur
Clientis Bank,Clientis Bank Küttigen-Erlinsbach AG,Kunde
Coca-Cola Schweiz GmbH,Coca-Cola Schweiz GmbH,Kunde
cognita AG,cognita AG,Intelligence
Coiffure City Langenthal,Coiffure City AG,Kunde
Comparis.ch AG,comparis.ch AG,Kunde
Condor Films,Condor Films AG,Produktion
conex marketing,conex marketing rohrer,Agentur
Constantin Sport Marketing GmbH,Constantin Sport Marketing GmbH,Kunde
Coop Genossenschaft,Coop Genossenschaft,Kunde
CORPMEDIA?,Corpmedia Timo W_§schle,Produktion
Credit Suisse,Credit Suisse AG,Kunde
Credit Suisse  Private Banking Marketing,Credit Suisse AG,Kunde
Credit Suisse AG,Credit Suisse AG,Kunde
Crowd Relations,Crowd Relations,Andere
CT Cinetrade AG,CT Cinetrade AG,Kino
Customer Ground Service AG,CGS Customer Ground Service Basel AG,Kunde
Dellaquila Enterprises,Dellaquila Enterprises,Andere
Denstu Aegis Network,Dentsu Aegis Network Switzerland AG,Agentur
Dentsu Aegis Network,Dentsu Aegis Network Switzerland AG,Agentur
Dentsu Aegis Network Switzerland,Dentsu Aegis Network Switzerland AG,Agentur
DGO Distribution,DGO Distribution AG,Kunde
Die Schweizerische Post AG,Die Schweizerische Post AG,Kunde
digitec und Galaxus,Galaxus AG,Kunde
Discovery Communications Deutschland GmbH & Co. KG,Discovery Communications Deutschland GmbH & Co. KG,Broadcaster
DOSA film und fernsehproduktion,DOSA film und fernsehproduktion,Produktion
Dosenbach Ochnser AG,Dosenbach Ochnser AG,Kunde
Dr. Oetker,Dr. Oetker AG,Kunde
Dr. Oetker AG,Dr. Oetker AG,Kunde
Dr. W.A. Günther,Dr. W.A. Günther Holding AG,Produktion
Dr.W.A.Günther Mediarent AG,Dr. W.A. Günther Holding AG,Produktion
Drei media team AG,Drei media team AG,Agentur
drei.MediaTeam ,Drei media team AG,Agentur
Dwb ag,dwb AG,Agentur
dwb AG,dwb AG,Agentur
dwb.ch,dwb AG,Agentur
e-scort SVC,e-scort SVC,Kunde
El Cartel Media,El Cartel Media,Werbevermarkter
Energy Media,Energy Media AG,Radio
Energy Media AG,Energy Media AG,Radio
Energy Zürich ,Energy Media AG,Radio
epos,EPOS GROUP HOLDING AG,Andere
EPOS ChaosCrew / Showcrew,EPOS ChaosCrew / Showcrew,Andere
Erdöl-Vereinigung,Erdöl - Vereinigung (EV),Verband
european star cinema,Eurosport AG,Broadcaster
Eurosport ,Eurosport AG,Broadcaster
Eurosport Media ,Eurosport AG,Broadcaster
Eventsupport GmbH,Eventsupport (Schweiz) GmbH,Agentur
Excom Media AG,Excom Media AG,Kunde
F. UHLMANN EYRAUD SA,Fonds de Prévoyance du personnel de la société F. Uhlmann-Eyraud SA,Andere
FACES,FACES,Andere
Faro TV,faroTV GmbH,Produktion
FaroTV - A Division of Condor Films,faroTV GmbH,Produktion
Feldschlösschen Getr_§nke AG,Feldschlösschen Getr_§nke AG,Kunde
Feller AG,Feller AG,Kunde
FIFA,FIFA Ticketing AG,Kunde
Filmfonds.ch,Filmfonds.ch GmbH,Produktion
Filmfonds.ch GmbH,Filmfonds.ch GmbH,Produktion
Filmkolchose,Filmkolchose,Produktion
Filmwords AG,Filmwords AG,Intelligence
flavouritVisuals Design,flavouritVisuals Design,Agentur
